"codigo","nombre","population","total_functional_2015","per_person","cut"
42209,"Villar del Río",162,326000,2012.34567901235,"Menos de 1.000"
27006,"Becerreá",3012,2151538.14,714.322091633466,"de 1.000 a 5.000"
4022,"Bédar",986,1017200,1031.6430020284,"Menos de 1.000"
24095,"Mansilla Mayor",338,212944.3,630.012721893491,"Menos de 1.000"
46160,"Manuel",2543,1290313.39,507.398108533228,"de 1.000 a 5.000"
24171,"Trabadelo",412,226602,550.004854368932,"Menos de 1.000"
9047,"Belbimbre",77,102000,1324.67532467532,"Menos de 1.000"
14008,"Belalcázar",3427,2740704.5,799.73869273417,"de 1.000 a 5.000"
50045,"Belchite",1589,1297034.6,816.258401510384,"de 1.000 a 5.000"
37047,"Beleña",212,136041.58,641.705566037736,"Menos de 1.000"
46047,"Bèlgida",694,576907.36,831.278616714697,"Menos de 1.000"
25046,"Belianes",555,453415,816.963963963964,"Menos de 1.000"
25047,"Bellcaire d'Urgell",1305,922619.95,706.98846743295,"de 1.000 a 5.000"
25170,"Bellaguarda",307,469500,1529.31596091205,"Menos de 1.000"
44039,"Bello",244,464950,1905.53278688525,"Menos de 1.000"
8021,"Bellprat",78,123700,1585.89743589744,"Menos de 1.000"
46048,"Bellreguard",4712,2914187.51,618.460846774194,"de 1.000 a 5.000"
25052,"Bellvís",2342,1660273.75,708.912788215201,"de 1.000 a 5.000"
34031,"Belmonte de Campos",29,109765,3785,"Menos de 1.000"
50046,"Belmonte de Gracián",221,307084.05,1389.52058823529,"Menos de 1.000"
41043,"Garrobo, El",774,648975.04,838.469043927649,"Menos de 1.000"
50129,"Jaraba",329,493000,1498.48024316109,"Menos de 1.000"
12022,"Bejís",406,1814906.02,4470.21187192118,"Menos de 1.000"
45020,"Belvís de la Jara",1698,1245312,733.399293286219,"de 1.000 a 5.000"
22052,"Belver de Cinca",1346,984110.39,731.136991084695,"de 1.000 a 5.000"
10026,"Belvís de Monroy",638,918346.34,1439.41432601881,"Menos de 1.000"
46051,"Benaguasil",11015,7500197.83,680.90765592374,"de 10.000 a 50.000"
29022,"Benadalid",253,340756.51,1346.86367588933,"Menos de 1.000"
47016,"Benafarces",86,102301,1189.54651162791,"Menos de 1.000"
29024,"Benalauría",482,700394.99,1453.10163900415,"Menos de 1.000"
29025,"Benalmádena",66939,95866766.41,1432.15115866685,"de 50.000 a 100.000"
18027,"Benalúa",3296,2415425.97,732.835549150485,"de 1.000 a 5.000"
49020,"Belver de los Montes",313,199598.42,637.694632587859,"Menos de 1.000"
11901,"Benalup-Casas Viejas",6967,5623060.18,807.099207693412,"de 5.000 a 10.000"
29026,"Benamargosa",1489,1111542.68,746.50280725319,"de 1.000 a 5.000"
18029,"Benamaurel",2414,2191000,907.622203811102,"de 1.000 a 5.000"
49275,"Zamora",64423,57190375.6,887.732263322105,"de 50.000 a 100.000"
12026,"Benasal",1162,955147,821.985370051635,"de 1.000 a 5.000"
46081,"Canals",13360,8604534.78,644.052004491018,"de 10.000 a 50.000"
43043,"Catllar, El",4222,3316730,785.582662245381,"de 1.000 a 5.000"
46144,"Jarafuel",805,1880000,2335.40372670807,"Menos de 1.000"
49111,"Manzanal del Barco",147,182125,1238.94557823129,"Menos de 1.000"
5266,"Zapardiel de la Cañada",103,117096,1136.85436893204,"Menos de 1.000"
5267,"Zapardiel de la Ribera",114,95950,841.666666666667,"Menos de 1.000"
50297,"Zaragoza",666058,708554227,1063.80259226674,"más de 500.000"
9467,"Villaverde-Mogina",83,86100,1037.34939759036,"Menos de 1.000"
46902,"Gátova",384,482376.34,1256.18838541667,"Menos de 1.000"
43045,"Colldejou",172,524825,3051.30813953488,"Menos de 1.000"
29056,"Gaucín",1671,1890923.17,1131.61171154997,"de 1.000 a 5.000"
8089,"Gavà",46326,41619180,898.397875922808,"de 10.000 a 50.000"
8070,"Collsuspina",338,698226,2065.7573964497,"Menos de 1.000"
28043,"Colmenar de Oreja",8409,5601719.31,666.157606136283,"de 5.000 a 10.000"
10062,"Cedillo",493,853890.58,1732.02957403651,"Menos de 1.000"
28045,"Colmenar Viejo",47445,32100540,676.584255453683,"de 10.000 a 50.000"
10065,"Collado de la Vera",156,275490.1,1765.96217948718,"Menos de 1.000"
40059,"Collado Hermoso",153,225193.67,1471.85405228758,"Menos de 1.000"
28044,"Colmenarejo",8934,6134200,686.612939332886,"de 5.000 a 10.000"
18051,"Colomera",1431,1449561.55,1012.97103424179,"de 1.000 a 5.000"
17055,"Colomers",195,310000,1589.74358974359,"Menos de 1.000"
23033,"Frailes",1648,1521495.82,923.237754854369,"de 1.000 a 5.000"
6058,"Garrovilla, La",2434,1727911.59,709.906158586689,"de 1.000 a 5.000"
4049,"Garrucha",8632,5352708,620.100556070436,"de 5.000 a 10.000"
10084,"Gata",1618,998000,616.8108776267,"de 1.000 a 5.000"
34061,"Collazos de Boedo",121,113000,933.884297520661,"Menos de 1.000"
13053,"Manzanares",18924,13448240,710.644683999154,"de 10.000 a 50.000"
28082,"Manzanares el Real",8182,6508859,795.509533121486,"de 5.000 a 10.000"
45090,"Manzaneque",402,328240,816.517412935323,"Menos de 1.000"
44143,"Manzanera",526,830725,1579.32509505703,"Menos de 1.000"
21047,"Manzanilla",2118,1679605,793.014636449481,"de 1.000 a 5.000"
47080,"Manzanillo",62,56091,904.693548387097,"Menos de 1.000"
37180,"Manzano, El",75,111239.1,1483.188,"Menos de 1.000"
7032,"Maó-Mahón",28460,34055000,1196.59170765987,"de 10.000 a 50.000"
45091,"Maqueda",498,447050,897.690763052209,"Menos de 1.000"
50162,"Mara",178,232200,1304.49438202247,"Menos de 1.000"
18127,"Maracena",21633,18240551.95,843.181803263533,"de 10.000 a 50.000"
19170,"Maranchón",262,1354746.38,5170.78770992366,"Menos de 1.000"
16273,"Villaverde y Pasaconsol",346,257350,743.78612716763,"Menos de 1.000"
9109,"Condado de Treviño",1398,1860007.27,1330.47730329041,"de 1.000 a 5.000"
44074,"Cedrillas",619,6e+05,969.305331179321,"Menos de 1.000"
19096,"Condemios de Arriba",129,106310,824.108527131783,"Menos de 1.000"
22090,"Colungo",124,180844,1458.41935483871,"Menos de 1.000"
29044,"Comares",1435,2251840,1569.22648083624,"de 1.000 a 5.000"
49052,"Coomonte",194,123100,634.536082474227,"Menos de 1.000"
19098,"Copernal",32,71000,2218.75,"Menos de 1.000"
29045,"Cómpeta",3459,3296100,952.905464006938,"de 1.000 a 5.000"
13043,"Fuenllana",271,144877.2,534.60221402214,"Menos de 1.000"
46130,"Gavarda",1125,582271,517.574222222222,"de 1.000 a 5.000"
5082,"Gavilanes",643,497700,774.02799377916,"Menos de 1.000"
12067,"Geldo",667,370145.17,554.940284857571,"Menos de 1.000"
8091,"Gelida",7194,7216266,1003.09507923269,"de 5.000 a 10.000"
41044,"Gelves",9688,6372659,657.788914120562,"de 5.000 a 10.000"
49090,"Gema",226,107000,473.451327433628,"Menos de 1.000"
43076,"Marçà",611,574443.77,940.169836333879,"Menos de 1.000"
18128,"Marchal",428,672204,1570.57009345794,"Menos de 1.000"
19171,"Marchamalo",6664,5887100,883.418367346939,"de 5.000 a 10.000"
41060,"Marchena",19940,11244528.47,563.918178034102,"de 10.000 a 50.000"
43075,"Margalef",108,415324,3845.59259259259,"Menos de 1.000"
39040,"Marina de Cudeyo",5223,3969173.34,759.941286616887,"de 5.000 a 10.000"
41061,"Marinaleda",2748,1733250.92,630.731775836972,"de 1.000 a 5.000"
46161,"Marines",1872,1220927.17,652.20468482906,"de 1.000 a 5.000"
49271,"Villaveza del Agua",216,113049,523.375,"Menos de 1.000"
47229,"Villavicencio de los Caballeros",251,260100,1036.25498007968,"Menos de 1.000"
28060,"Fuentidueña de Tajo",2026,1348350.61,665.523499506417,"de 1.000 a 5.000"
23035,"Fuerte del Rey",1402,1166895.97,832.308109843081,"de 1.000 a 5.000"
16091,"Fuertescusa",77,92915.01,1206.68844155844,"Menos de 1.000"
40086,"Fuentepelayo",937,1091300,1164.67449306297,"Menos de 1.000"
8218,"Sant Joan de Vilatorrada",10733,10430000.01,971.769310537594,"de 10.000 a 50.000"
6055,"Fuentes de León",2430,1966046.5,809.072633744856,"de 1.000 a 5.000"
31107,"Funes",2488,2914881,1171.57596463023,"de 1.000 a 5.000"
49081,"Fuentesaúco",1740,1107166.57,636.302626436782,"de 1.000 a 5.000"
9141,"Fuentespina",767,732900,955.541069100391,"Menos de 1.000"
49084,"Fuentespreadas",322,162400,504.347826086957,"Menos de 1.000"
42093,"Fuentestrún",54,186500,3453.7037037037,"Menos de 1.000"
25097,"Fulleda",98,316033,3224.82653061224,"Menos de 1.000"
4047,"Gádor",3096,2710000,875.322997416021,"de 1.000 a 5.000"
8090,"Gaià",163,623461.13,3824.91490797546,"Menos de 1.000"
36024,"Lalín",20158,13835428.19,686.349250421669,"de 10.000 a 50.000"
21048,"Marines, Los",280,621000,2217.85714285714,"Menos de 1.000"
5120,"Marlín",39,40000,1025.64102564103,"Menos de 1.000"
23059,"Marmolejo",7183,7211545.76,1003.97407211472,"de 5.000 a 10.000"
50902,"Marracos",97,263250,2713.9175257732,"Menos de 1.000"
7036,"Marratxí",35521,37808500,1064.39852481631,"de 10.000 a 50.000"
5166,"Navarredondilla",231,199285,862.705627705628,"Menos de 1.000"
33076,"Villaviciosa",14820,13064177.72,881.523462887989,"de 10.000 a 50.000"
